coc_number,year,city,top_25,population,total_beds_per_1000_pop,total_homeless_per_1000_pop,unsheltered_per_1000_pop,esp_per_1000_pop,thp_per_1000_pop,rrh_per_1000_pop,psh_per_1000_pop
AZ-501,2007,Tucson,x,517450,5.59,6.18,2.3,1.33,2.92,2.92,1.33
AZ-501,2008,Tucson,x,520054,6.03,4.53,2.13,1.44,3.39,3.39,1.19
AZ-501,2009,Tucson,x,520418,6.34,6.9,2.63,1.21,3.25,3.25,1.87
AZ-501,2010,Tucson,x,520740,6.2,6.99,3.27,1.1,2.99,2.99,2.09
AZ-501,2011,Tucson,x,523168,5.65,5.01,1.38,1.16,2.47,2.47,2.01
AZ-501,2012,Tucson,x,524295,5.68,4.51,1.16,1.29,2.19,2.19,2.18
AZ-501,2013,Tucson,x,525424.42,6.27,4.25,0.95,1.26,2.1,2.1,2.74
AZ-502,2007,Phoenix,x,1450901,5.25,5.82,1.96,1.55,2.31,2.31,1.38
AZ-502,2008,Phoenix,x,1456729,5.64,4.93,1.66,1.84,2.05,2.05,1.73
AZ-502,2009,Phoenix,x,1452679,5.38,5.43,2,1.76,1.87,1.87,1.74
AZ-502,2010,Phoenix,x,1449396,5.68,4.82,1.88,1.81,1.78,1.78,2.07
AZ-502,2011,Phoenix,x,1464214,5.69,3.98,1.19,1.71,1.78,1.78,2.19
AZ-502,2012,Phoenix,x,1488750,6.78,4.35,1.17,1.71,2.05,2.05,3
AZ-502,2013,Phoenix,x,1513697.15,6.8,3.89,1.04,1.7,1.91,1.91,3.11
CA-501,2007,San Francisco CoC,x,778673,9.6,7.32,3.58,2.21,0.97,0.97,6.41
CA-501,2008,San Francisco CoC,x,791152,9.53,6.53,3.5,2.07,0.85,0.85,6.61
CA-501,2009,San Francisco CoC,x,801922,10.8,7.26,3.66,2.42,0.84,0.84,7.53
CA-501,2010,San Francisco CoC,x,805607,11.47,7.22,3.65,2.22,0.92,0.92,8.32
CA-501,2011,San Francisco CoC,x,814233,11.89,6.96,4.14,2.27,1.02,1.02,8.59
CA-501,2012,San Francisco CoC,x,825863,12.74,7.13,4.08,2.27,1.28,1.28,9.18
CA-501,2013,San Francisco CoC,x,837659.11,11.14,8.36,5.15,1.93,1.28,1.28,7.92
CA-514,2007,Fresno,x,477659,6.78,8.89,3.16,2.31,3.24,3.24,1.22
CA-514,2008,Fresno,x,484443,5.31,7.23,3.21,2.16,2.13,2.13,1.01
CA-514,2009,Fresno,x,490262,3.35,8.86,5.01,1.02,1.84,1.84,0.48
CA-514,2010,Fresno,x,497017,3.91,8.62,4.94,1.43,1.74,1.74,0.73
CA-514,2011,Fresno,x,501149,4.22,10.24,7.62,1.95,1.35,1.35,0.91
CA-514,2012,Fresno,x,505882,3.33,8.87,7.55,0.72,1.27,1.27,1.33
CA-514,2013,Fresno,x,510659.69,3.38,6.13,4.96,0.84,1,1,1.47
CA-600,2007,Los Angeles City & County CoC,x,3751872,5.15,18.28,15.23,1.17,2.14,2.14,1.83
CA-600,2008,Los Angeles City & County CoC,x,3763566,5.73,18.22,15.18,1.2,2.39,2.39,2.14
CA-600,2009,Los Angeles City & County CoC,x,3781938,8.32,11.28,7.57,1.3,2.66,2.66,4.34
CA-600,2010,Los Angeles City & County CoC,x,3795781,8.04,11.24,7.54,1.18,2.37,2.37,4.48
CA-600,2011,Los Angeles City & County CoC,x,3823316,7.98,11.88,7.46,1.32,2.18,2.18,4.47
CA-600,2012,Los Angeles City & County CoC,x,3857799,8.69,10.97,7.39,1.16,2.14,2.14,5.39
CA-600,2013,Los Angeles City & County CoC,x,3892593,6.1,13.82,10.49,1.02,2.03,2.03,3.04
CA-601,2007,San Diego City and County CoC,x,1266198,2.33,2.75,0.8,0.15,1.58,1.58,0.59
CA-601,2008,San Diego City and County CoC,x,1282692,2.33,3.39,1.35,0.17,1.62,1.62,0.53
CA-601,2009,San Diego City and County CoC,x,1295591,2.36,3.34,1.44,0.16,1.6,1.6,0.59
CA-601,2010,San Diego City and County CoC,x,1306071,2.42,3.46,1.56,0.16,1.61,1.61,0.64
CA-601,2011,San Diego City and County CoC,x,1320274,4.21,7.14,4.13,0.29,2.67,2.67,1.24
CA-601,2012,San Diego City and County CoC,x,1338348,5,7.48,4.21,0.35,2.84,2.84,1.8
CA-601,2013,San Diego City and County CoC,x,1356669.42,4.95,6.54,3.37,0.3,2.8,2.8,1.84
CA-608,2007,Riverside City & County CoC,x,300083,5.6,15.02,10.59,2.04,2.73,2.73,0.81
CA-608,2008,Riverside City & County CoC,x,300235,5.53,15.01,10.58,1.89,2.93,2.93,0.7
CA-608,2009,Riverside City & County CoC,x,301084,5.88,11.17,6.78,2.05,2.9,2.9,0.92
CA-608,2010,Riverside City & County CoC,x,305585,6.08,10.22,6.68,2.51,2.37,2.37,1.19
CA-608,2011,Riverside City & County CoC,x,310083,6.21,20,16.41,2.27,2.3,2.3,1.63
CA-608,2012,Riverside City & County CoC,x,313673,6.29,19.43,16.22,1.94,2.32,2.32,2.02
CA-608,2013,Riverside City & County CoC,x,317304.56,6.75,9.38,5.95,2.05,2.4,2.4,2.29
CO-503,2007,Metropolitan Denver Homeless Initiative,x,564395,10.99,15.41,6.22,3.08,4.72,4.72,3.19
CO-503,2008,Metropolitan Denver Homeless Initiative,x,575721,11.29,14.73,6.13,2.92,4.9,4.9,3.47
CO-503,2009,Metropolitan Denver Homeless Initiative,x,589011,10.66,14.85,2.88,2.8,4.52,4.52,3.32
CO-503,2010,Metropolitan Denver Homeless Initiative,x,603497,10.99,14.5,2.81,2.51,4.75,4.75,3.73
CO-503,2011,Metropolitan Denver Homeless Initiative,x,619285,10.67,7.76,0.85,2.58,4.46,4.46,3.61
CO-503,2012,Metropolitan Denver Homeless Initiative,x,634265,10.85,10.02,1.51,2.48,4.84,4.84,3.52
CO-503,2013,Metropolitan Denver Homeless Initiative,x,649607.35,10.63,9.72,1.42,2.75,4.8,4.8,3.02
DC-500,2007,District of Columbia CoC,x,574404,15.49,9.26,0.59,5.22,3.93,3.93,6.33
DC-500,2008,District of Columbia CoC,x,580236,15.22,10.41,0.65,5.24,4.6,4.6,5.37
DC-500,2009,District of Columbia CoC,x,592228,16.99,10.51,0.54,5.18,5.24,5.24,6.56
DC-500,2010,District of Columbia CoC,x,604989,18.48,10.8,0.71,5.73,4.75,4.75,7.98
DC-500,2011,District of Columbia CoC,x,619020,19.45,10.57,0.49,5.53,4.93,4.93,8.99
DC-500,2012,District of Columbia CoC,x,632323,20.07,10.99,1.07,5.24,4.62,4.62,10.2
DC-500,2013,District of Columbia CoC,x,645911.88,21.79,10.62,0.79,5.96,4.35,4.35,9.63
